"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Chuba Hubbard","CAR","RB50","107.6","507.6","2.9","17.6","149.0","0.4","0.7","102.0"
"Chase Claypool","CHI","WR83","5.0","34.7","0.2","36.1","466.3","2.5","0.5","101.5"
"Joshua Palmer","LAC","WR84","0.4","1.7","0.0","41.6","465.7","2.2","0.1","101.2"
"Zach Ertz","ARI","TE26","0.0","0.4","0.0","42.5","420.5","2.5","0.1","99.2"
"Dawson Knox","BUF","TE27","0.0","0.7","0.0","36.8","409.0","3.6","0.2","98.9"
"Allen Robinson II","PIT","WR85","0.1","0.3","0.0","38.7","438.9","2.5","0.1","97.8"
"Jake Ferguson","DAL","TE28","0.0","0.5","0.0","38.4","393.2","3.2","0.1","97.1"
"John Metchie III","HOU","WR86","0.6","6.5","0.0","37.7","450.8","2.2","0.1","96.6"
"Wan'Dale Robinson","NYG","WR87","2.5","12.2","0.1","40.0","439.5","1.9","0.4","96.1"
"Parris Campbell","NYG","WR88","3.0","31.6","0.1","38.3","414.5","2.2","0.2","95.9"
"Logan Thomas","WAS","TE29","0.0","0.8","0.0","42.3","401.2","2.1","0.1","94.7"
"Mike Gesicki","NE","TE30","0.0","0.3","0.0","36.0","411.1","2.9","0.1","94.2"
"Luke Musgrave","GB","TE31","0.0","0.9","0.0","36.0","397.9","2.8","0.4","91.8"
"Tank Bigsby","JAC","RB51","104.9","418.1","2.6","17.9","135.4","0.7","0.9","91.1"
"Rashee Rice","KC","WR89","1.0","6.8","0.0","31.3","429.3","2.6","0.4","90.1"
"Tutu Atwell","LAR","WR90","7.1","38.1","0.4","31.5","413.8","1.8","0.2","89.6"
"Jeff Wilson Jr.","MIA","RB52","104.0","418.9","2.6","16.2","122.1","0.8","0.8","88.4"
"Michael Mayer","LV","TE32","0.0","0.9","0.0","35.2","382.4","2.5","0.4","87.9"
"Zack Moss","IND","RB53","78.5","469.2","2.4","14.8","97.7","0.4","0.7","87.1"
"D'Onta Foreman","CHI","RB54","119.5","566.9","3.0","6.6","45.8","0.2","0.6","85.6"
"Trey McBride","ARI","TE33","0.0","0.6","0.0","35.2","379.3","2.1","0.1","85.3"
"Deon Jackson","IND","RB55","75.6","282.8","1.6","25.8","173.7","1.0","0.8","85.0"
"Gus Edwards","BAL","RB56","114.0","553.2","3.1","6.5","57.0","0.1","0.9","84.9"
"Josh Reynolds","DET","WR91","0.2","0.4","0.0","30.6","395.3","2.2","0.1","83.2"
"Greg Dortch","ARI","WR92","5.7","41.2","0.1","36.4","348.9","1.4","0.5","83.2"
"Michael Wilson","ARI","WR93","0.4","5.7","0.0","34.2","397.1","1.4","0.2","83.1"
"Isaiah McKenzie","IND","WR94","7.2","45.9","0.2","33.4","335.1","1.7","0.1","82.6"
"Jalin Hyatt","NYG","WR95","1.0","7.5","0.0","30.1","396.9","1.9","0.4","81.2"
"Cordarrelle Patterson","ATL","RB57","65.8","283.4","2.2","20.0","151.8","0.8","0.2","81.0"
"Tyjae Spears","TEN","RB58","93.3","369.5","1.9","17.3","134.1","0.6","0.8","81.0"
"Tank Dell","HOU","WR96","0.9","6.0","0.0","30.9","402.5","1.7","0.6","80.5"
"Kendre Miller","NO","RB59","79.2","340.5","2.0","17.5","139.4","0.7","0.8","79.7"
"Kyren Williams","LAR","RB60","92.3","371.6","1.7","17.3","132.9","0.4","0.5","79.2"
"Nick Westbrook-Ikhine","TEN","WR97","0.0","0.3","0.0","28.4","371.0","2.3","0.1","78.9"
"Joshua Kelley","LAC","RB61","94.0","377.6","2.1","15.0","115.2","0.3","1.1","76.5"
"Chase Edmonds","TB","RB62","63.2","290.0","1.4","20.2","150.2","0.7","0.4","76.4"
"Randall Cobb","NYJ","WR98","0.1","0.6","0.0","30.7","335.1","2.0","0.2","75.6"
"Sterling Shepard","NYG","WR99","2.3","13.9","0.1","30.5","326.2","1.6","0.1","74.9"
"Clyde Edwards-Helaire","KC","RB63","68.2","298.8","2.1","14.8","117.7","1.0","0.3","74.1"
"Marquez Callaway","LV","WR100","0.0","0.5","0.0","34.8","282.2","1.7","0.0","73.5"
"Trey Palmer","TB","WR101","0.3","4.9","0.1","29.7","339.4","1.5","0.1","73.1"
"Austin Hooper","LV","TE34","0.0","0.4","0.0","30.9","312.9","1.8","0.0","73.0"
"Ty Chandler","MIN","RB64","92.7","327.0","2.1","13.7","109.7","0.6","0.7","71.7"
"Terrace Marshall Jr.","CAR","WR102","0.0","0.1","0.0","25.1","369.5","1.5","0.1","70.8"
"Taysom Hill","NO","TE35","40.5","153.0","2.5","13.1","182.0","1.7","1.1","69.5"
"Jelani Woods","IND","TE36","0.0","0.5","0.0","26.0","323.6","1.8","0.0","69.1"
"Josh Downs","IND","WR103","0.6","5.9","0.0","26.0","339.2","1.4","0.2","68.9"
"Keaontay Ingram","ARI","RB65","82.0","322.9","1.8","15.1","97.8","0.3","0.4","68.7"
"Jerome Ford","CLE","RB66","94.8","351.2","1.8","10.7","93.1","0.5","0.8","67.0"
"Deuce Vaughn","DAL","RB67","70.0","294.7","1.7","14.2","109.2","0.6","0.8","66.7"
"Khalil Shakir","BUF","WR104","0.7","4.8","0.0","24.1","329.1","1.5","0.2","66.4"
"Isaiah Likely","BAL","TE37","0.0","0.6","0.0","24.3","292.6","2.1","0.0","65.9"
"Ben Skowronek","LAR","WR105","0.4","6.7","0.3","26.9","286.2","1.1","0.1","64.4"
"Cedrick Wilson Jr.","MIA","WR106","0.2","0.6","0.0","27.1","278.0","1.5","0.1","64.0"
"Roschon Johnson","CHI","RB68","88.4","326.0","1.7","9.3","88.8","0.5","0.7","62.3"
"Braxton Berrios","MIA","WR107","1.2","15.9","0.2","24.7","263.0","1.4","0.3","61.8"
"Laviska Shenault Jr.","CAR","WR108","15.7","80.8","0.7","21.8","229.2","0.8","0.2","61.5"
"Deonte Harty","BUF","WR109","2.4","16.7","0.1","24.1","278.2","1.3","0.3","61.0"
"Durham Smythe","MIA","TE38","0.0","2.9","0.0","25.9","237.8","1.5","0.0","58.8"
"Chase Brown","CIN","RB69","50.6","218.2","1.4","15.0","118.0","0.5","0.7","58.3"
"Noah Brown","HOU","WR110","0.1","0.4","0.0","23.8","271.9","1.1","0.2","57.2"
"Sean Tucker","TB","RB70","65.0","259.0","1.1","12.7","90.1","0.4","0.2","56.2"
"Jauan Jennings","SF","WR111","0.0","0.2","0.0","21.7","261.4","1.3","0.1","55.4"
"Kalif Raymond","DET","WR112","2.3","23.2","0.2","20.7","237.9","1.3","0.2","55.3"
"Richie James Jr.","KC","WR113","0.4","1.3","0.0","20.8","266.8","1.6","1.1","54.9"
"Latavius Murray","BUF","RB71","55.7","270.9","1.6","10.3","68.4","0.2","0.0","54.8"
"Tyquan Thornton","NE","WR114","2.3","8.9","0.8","18.1","235.9","1.2","0.0","54.4"
"Noah Gray","KC","TE39","0.0","6.0","0.0","21.4","222.8","1.5","0.0","53.1"
"Kylen Granson","IND","TE40","0.0","3.7","0.0","22.7","233.4","1.1","0.0","53.0"
"Luke Schoonmaker","DAL","TE41","0.0","1.4","0.0","21.0","234.9","1.5","0.3","52.9"
"Quez Watkins","PHI","WR115","0.4","0.8","0.0","19.5","263.8","1.2","0.2","52.6"
"Matt Breida","NYG","RB72","53.8","239.1","1.2","12.3","92.0","0.2","0.7","52.4"
"Jamal Agnew","JAC","WR116","5.9","52.6","0.3","20.6","187.4","1.1","0.2","52.4"
"Adam Trautman","DEN","TE42","0.0","0.3","0.0","21.6","229.9","1.3","0.2","52.1"
"Olamide Zaccheaus","PHI","WR117","0.6","2.1","0.0","20.1","246.2","1.2","0.3","51.6"
"Puka Nacua","LAR","WR118","0.4","2.9","0.0","19.6","261.2","0.9","0.1","51.3"
"Will Dissly","SEA","TE43","0.0","0.6","0.0","21.4","216.3","1.2","0.1","50.5"
"Evan Hull","IND","RB73","64.1","254.1","1.3","8.7","75.3","0.3","0.3","50.4"
"Donald Parham Jr.","LAC","TE44","0.0","0.3","0.0","19.1","207.9","1.7","0.0","50.1"
"Trayveon Williams","CIN","RB74","55.3","238.6","1.0","12.1","76.1","0.4","1.0","49.7"
"C.J. Uzomah","NYJ","TE45","0.0","0.5","0.0","20.2","203.9","1.5","0.0","49.7"
"Zach Pascal","ARI","WR119","0.1","1.1","0.0","20.9","215.5","1.1","0.1","48.8"
"Kayshon Boutte","NE","WR120","0.6","4.9","0.0","17.9","242.1","0.8","0.1","47.7"
"Jonnu Smith","ATL","TE46","0.0","5.9","0.0","18.9","207.2","1.2","0.0","47.5"
"Trent Sherfield","BUF","WR121","0.0","0.6","0.0","17.3","231.8","1.2","0.1","47.4"
"Foster Moreau","NO","TE47","0.0","0.3","0.0","17.7","232.1","1.2","0.3","47.4"
"Robert Tonyan","CHI","TE48","0.0","0.3","0.0","18.6","200.2","1.4","0.0","47.3"
"Deven Thompkins","TB","WR122","0.2","9.5","0.1","19.4","210.6","0.9","0.1","47.2"
"Brock Wright","DET","TE49","0.0","0.3","0.0","17.2","181.4","1.9","0.0","46.9"
"Brenton Strange","JAC","TE50","0.0","1.4","0.0","20.4","191.9","1.3","0.3","46.8"
"Ameer Abdullah","LV","RB75","26.2","90.4","0.4","18.8","131.4","0.6","0.1","46.7"
"Myles Gaskin","MIN","RB76","40.0","170.6","0.9","13.7","82.0","0.4","0.3","46.5"
"JaMycal Hasty","JAC","RB77","34.7","166.1","1.0","13.2","84.6","0.4","0.1","46.3"
